Железнодорожников, площадь
Ленина, площадь 
Гайдара, площадь
Восточное, шоссе Восточный
Западное, шоссе Койсуг
Ростовское, шоссе
Сальское, шоссе Южный
Самарское, шоссе Красный сад
Северное, шоссе Северный
1-я, улица (дачный посёлок Гидромеханизатор)
1-й Пятилетки, улица Северный
2-я, улица (дачный посёлок Гидромеханизатор)
2-й Пятилетки, улица . 3-я, улица (дачный посёлок Гидромеханизатор)
4-я, улица (дачный посёлок Гидромеханизатор)
5-я, улица (дачный посёлок Гидромеханизатор)
6-я, улица (дачный посёлок Гидромеханизатор)
7-я, улица (дачный посёлок Гидромеханизатор)
8-я, улица (дачный посёлок Гидромеханизатор)
9-я, улица (дачный посёлок Гидромеханизатор)
10-я, улица (дачный посёлок Гидромеханизатор)
11-я, улица (дачный посёлок Гидромеханизатор)
12-я, улица (дачный посёлок Гидромеханизатор)
13-я, улица (дачный посёлок Гидромеханизатор)
13 км, улица .
14-я, улица (дачный посёлок Гидромеханизатор)
15-я, улица (дачный посёлок Гидромеханизатор)
16-я, улица (дачный посёлок Гидромеханизатор)
40 лет Октября, улица Авиагородок
40 лет Пионерии, улица Центр
50 лет Октября, улица Северный
60 лет Победы, улица Восточный
Абрикосовая, улица
Абрикосовая, улица (дачный посёлок Лесная Поляна)
Авиационная, улица Авиагородок
Ангарская, улица Койсуг
Армавирская, улица Койсуг
Артёмовская, улица Койсуг
Астраханская, улица Койсуг
Багратиона, улица Авиагородок
Байкальская, улица .
Балашова, улица Койсуг
Барбарисовая, улица (дачный посёлок Дружба)
Бекентьева, улица РДВС
Белинского, улица РДВС
Белорусская, улица Койсуг
Берёзовая, улица РДВС
Благодатная, улица Восточный
Брусничная, улица (дачный посёлок Ягодка)
Буковая, улица .
Булгакова, улица Центр
Быковского, улица .
Васильковая, улица (дачный посёлок Донская Чаша)
Ватутина, улица Авиагородок
Вильямса, улица РДВС
Виноградная, улица (дачный посёлок Лесная Поляна)
Витебская, улица
Вишнёвая, улица (дачный посёлок Лесная Поляна)
Волжская, улица Койсуг
Воровского, улица Восточный
Ворошилова, улица Северный
Гайдара, улица РДВС
Гайдаш, улица РДВС
Гастелло, улица РДВС
Герцена, улица РДВС
Гоголя, улица Восточный
Грузинская, улица Койсуг
Губкина, улица Южный
Дзержинского, улица Центр
Добролюбова, улица РДВС
Донецкая, улица Койсуг
Дружбы, улица Восточный
Дубовая, улица (дачный посёлок Лесная Поляна)
Думенко, улица Койсуг
Ейская, улица Койсуг
Есенина, улица Восточный
Жасминовая, улица (дачный посёлок Донская Чаша)
Железнодорожная, улица Северный
Жуковского, улица Авиагородок
Заводская, улица Центр
Загородная, улица Восточный
Залесье, улица Южный
Заслонова, улица Койсуг
Зелёная, улица Восточный
Земляничная, улица (дачный посёлок Ягодка)
Ивовая, улица (дачный посёлок Дружба)
Изумрудная, улица
Индустриальная, улица РДВС
Иноземцева, улица Восточный
Иркутская, улица Койсуг
Кавказская, улица Койсуг
Калинина, улица Северный
Калиновая, улица (дачный посёлок Дружба)
Карла Либкнехта, улица Центр
Карла Маркса, улица Центр
Каштановая, улица (дачный посёлок Донская Чаша)
Кедровая, улица (дачный посёлок Дружба)
Кемеровская, улица Койсуг
Киевская, улица Восточный
Кизиловая, улица (дачный посёлок Дружба)
Кипарисовая, улица (дачный посёлок Лесная Поляна)
Кирова, улица Центр
Клары Цеткин, улица Гайдара
Кленовая, улица (дачный посёлок Дружба)
Ключевая, улица РДВС
Коваливского, улица Центр
Колхозная, улица РДВС
Комарова, улица Восточный
Коммунальная, улица Восточный
Коммунаров, улица Койсуг
Коммунистическая, улица Восточный
Комсомольская, улица Гайдара
Кооперативная, улица РДВС
Королёва, улица
Космонавтов, улица
Котовского, улица Северный
Красноармейская, улица Гайдара
Краснодарская, улица Койсуг
Красноярская, улица Койсуг
Крахмального, улица Койсуг
Крупской, улица Центр
Крымская, улица Койсуг
Кубанская, улица Восточный
Куйбышева, улица Северный
Кулагина, улица РДВС
Купеческая, улица Восточный
Кутузова, улица Авиагородок
Ладожская, улица
Лазо, улица Гайдара
Лазурная, улица Восточный
Левченко, улица Восточный
Ленина, улица Гайдара
Ленинградская, улица Северный
Лермонтова, улица Восточный
Лесопитомник, улица
Летняя, улица
0-я Линия, улица (дачный посёлок Труд)
1-я Линия, улица (дачный посёлок Труд)
2-я Линия, улица (дачный посёлок Труд)
3-я Линия, улица (дачный посёлок Труд)
4-я Линия, улица (дачный посёлок Труд)
5-я Линия, улица (дачный посёлок Труд)
6-я линия, улица (дачный посёлок Труд)
7-я Линия, улица (дачный посёлок Труд)
8-я Линия, улица (дачный посёлок Труд)
9-я Линия, улица (дачный посёлок Труд)
10-я Линия, улица (дачный посёлок Труд)
11-я Линия, улица (дачный посёлок Труд)
12-я Линия, улица (дачный посёлок Труд)
13-я Линия, улица (дачный посёлок Труд)
13а Линия, улица (дачный посёлок Труд)
14-я Линия, улица (дачный посёлок Труд)
15-я Линия, улица (дачный посёлок Труд)
16-я Линия, улица (дачный посёлок Труд)
17-я Линия, улица (дачный посёлок Труд)
18-я Линия, улица (дачный посёлок Труд)
19-я Линия, улица (дачный посёлок Труд)
20-я Линия, улица (дачный посёлок Труд)
21-я Линия, улица (дачный посёлок Труд)
Липовая, улица (дачный посёлок Донская Чаша)
Лиственная, улица (дачный посёлок Дружба)
Литовская, улица Койсуг
Ломоносова, улица Центр
Луначарского, улица Северный
Магнитогорская, улица Северный
Майская, улица
Маковая, улица (дачный посёлок Солнечное)
Максима Горького, улица Центр
Малиновая, улица (дачный посёлок Донская Чаша)
Маслиновая, улица (дачный посёлок Ягодка)
